exp = schedule-test, execution = 1, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 87107, 
0.000101
exp = schedule-test, execution = 2, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 75805, 
0.000089
exp = schedule-test, execution = 3, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 82406, 
0.000096
exp = schedule-test, execution = 4, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 84507, 
0.000098
exp = schedule-test, execution = 5, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 81307, 
0.000099
exp = schedule-test, execution = 6, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 76306, 
0.000092
exp = schedule-test, execution = 7, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 389830, 
0.000407
exp = schedule-test, execution = 8, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 129210, 
0.000143
exp = schedule-test, execution = 9, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 73305, 
0.000086
exp = schedule-test, execution = 10, benchmark = gemm, size_of_data = TOY_DATASET, schedule = , chunk_size = , num_threads = 8,
version = OMP, num_threads = 8, NI = 32, NJ = 32, NK = 32, ORIG = 0, OMP = 74306, 
0.000090
